Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
147.87,1693.26,16.26,554.55,1221.62,273.07,560.17,-92.72,40.36,7640.72,430.77
138.65,1600.04,15.38,556.22,1146.85,270.47,557.23,-92.9,39.47,7780.13,401.21
135.04,1541.49,13.56,552.99,1063.8,263.09,556.27,-93.47,38.31,8016.75,365.7
176.01,1853.14,15.86,562.14,1326.81,273.06,562.83,-92.7,38.18,8093.95,440.66
195.82,2030.86,17.89,564.24,1496.3,279.93,567.36,-92.45,38.73,8153.86,494.66
214.72,2213.96,19.35,564.53,1673.82,286.36,568.02,-92.21,39.36,8111.18,551.23
151.32,1673.71,16.59,554.04,1263.73,274.98,559.66,-90.08,40.17,7589.25,440.73
142.42,1606.21,15.61,553.42,1190.24,271.06,558.18,-92.04,39.3,7696.43,411.2
185.13,2039.85,18.55,562.59,1490.63,280.51,558.82,-92.56,39.3,8162.39,491.67
176.11,1952.66,18.25,564.53,1432.92,279.85,562.28,-93.08,39.84,8061.86,481.14
158.8,1816.95,17.65,563.86,1330.15,276.82,563.01,-92.36,39.94,7948.09,452.46
145.02,1661.29,17.11,560.61,1269.47,272.49,561.47,-92.43,38.56,7905.68,422.38
159.5,1746.66,16.07,553.78,1262.19,272.67,553.22,-92.54,39.6,7976.34,428.2
157.95,1728.79,16.05,556.87,1260.14,272.54,552.46,-92.55,39.72,7918.2,427.67
158.36,1726.29,15.99,556.14,1266.8,272.53,553.11,-92.56,39.5,7926.04,428.08
158.51,1727.13,15.69,556.86,1266.95,272.53,554.45,-92.57,39.48,7962.58,428.32
158.29,1723.87,15.65,555.65,1264.63,272.39,555.28,-92.58,39.46,7972.87,427.68
158.39,1728.25,15.78,555.51,1263.65,272.29,556.33,-92.6,39.47,7971.74,427.86
157.33,1718.07,15.7,555.13,1259.17,272.31,558,-92.61,39.59,7969.11,427.62
157.83,1716.54,15.71,555.52,1262.87,272.38,556.34,-92.62,39.48,7951.5,427.65
158.18,1727.18,15.62,556.81,1265.8,272.35,556.03,-92.63,39.4,7964.96,428.51
158.45,1730.5,15.69,557.1,1262.7,272.4,557.37,-92.64,39.44,7974.19,428.67
158.15,1726.63,15.52,557.04,1260.41,272.34,558.61,-92.65,39.49,7956.92,428.3
157.55,1721.5,15.75,555.01,1266.06,272.44,557.21,-92.68,39.4,7994.3,428.37
149.61,1675.81,15.47,554.52,1226.94,271.89,556.25,-92.69,40,7971.39,421.89
174.04,1857.35,16.16,556.75,1333.09,274.89,558.96,-92.56,39.63,7996.02,450.43
191.41,1995.06,17.62,561.58,1481.57,279.3,562.71,-92.45,39.14,7954.39,490.12
209.02,2168.22,19.62,562.35,1626.56,285.53,563.77,-92.33,40.1,8084.94,541.53
228.11,2366.24,21.56,561.77,1815.99,291.04,560.65,-93.05,40.3,7904.98,594.91
238.31,2538.22,23.6,561.11,1952.97,295.36,561.82,-92.06,40.86,7887.29,637.14
201.98,2282.31,24.25,558.29,1800.8,294.34,561.38,-91.95,41.94,7676.62,606.57
182.4,2054.42,21.73,556.03,1617.03,288.79,557.74,-91.67,41.75,7556.19,551.7
165.8,1848.04,19.25,553.81,1437.51,282.58,555.86,-92.12,41.68,7558.78,498.41
165.66,1798.22,16.73,556.13,1350.66,276.51,562.85,-92.36,39.94,7762.49,460.91
166.94,1819.09,16.85,555.89,1354.89,276.59,562.7,-92.48,39.84,7863.65,460.64
