Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
161.15,1745.85,15.65,552.14,1279.45,272.9,560.82,-92.88,39.54,7962.34,433.04
155.79,1693.22,15.55,550.77,1245,271.83,562.71,-92.89,39.66,7935.79,423.86
152.04,1647.22,15.65,551.79,1216.01,270.62,562.15,-92.9,39.54,7944.66,414.82
153.63,1646.7,15.14,552.98,1215.05,270.15,560.57,-92.91,39.28,7972.17,413.67
153.18,1650.87,15.05,552.96,1209.04,270.18,561.62,-92.92,39.37,7953.65,412.84
134.72,1483.76,13.36,556.38,1055.24,263.24,554.81,-92.86,38.67,8083.3,359.78
137.31,1497.56,13.14,555.94,1058.48,262.69,558.52,-92.68,38.27,8160.82,358.68
135.13,1476.1,13.42,555.79,1062.85,262.74,553.1,-92.63,38.32,8155.1,358.57
136.86,1481.26,13.32,554.56,1056.12,262.68,550.32,-92.6,38.66,8080.07,358.76
137.98,1495.63,13.13,555.1,1057.88,262.7,554.69,-92.58,38.6,8103.9,359.49
137.37,1489.42,13.31,555.15,1059.61,262.91,557.69,-92.45,38.37,8127.38,359.7
137.05,1487.99,13.41,554.56,1056.74,262.69,558.82,-92.46,38.45,8117.55,359.4
136.2,1486.39,13.27,554.67,1060.46,262.63,558.77,-92.46,38.33,8146.85,359.37
136.04,1480.89,13.52,554.13,1054.39,262.71,557.45,-92.47,38.56,8091.48,359.44
135.61,1479.3,13.52,554.81,1051.92,262.72,556.51,-92.47,38.68,8069.58,359.29
135.74,1471.92,13.55,555.01,1053.53,262.64,556.11,-92.48,38.68,8071.5,359.7
177.72,1841.2,16.68,556.15,1344.9,274.73,562.39,-92.54,39.51,7991.02,450.62
172.54,1831.95,17.32,554.3,1339.82,276.32,562.01,-92.51,40.29,7843.16,456.55
172.65,1815.93,17.28,556.3,1344.91,276.27,561.19,-92.47,40.11,7875.38,456.92
154.86,1693.36,16.4,557.94,1237.82,273.61,558.16,-92.73,40.72,7732.53,430.34
153.9,1635.03,15.63,559.81,1201.93,270.85,560.7,-92.4,39.47,7948.97,411.96
154.3,1643.24,15.49,555.27,1208.43,270.16,556.96,-92.46,39.33,7971.5,410.97
155.53,1655.99,15.26,557.14,1204.42,270.16,559.47,-92.49,39.48,7942.03,411.96
154.16,1647.23,15.47,556,1202.5,270.16,560.61,-92.53,39.48,7946.44,411.21
153.13,1640.53,15.32,556.18,1203.03,270.08,558.43,-92.56,39.44,7942.21,411.09
154.64,1651.14,15.58,556.03,1209.55,270.12,557.29,-92.59,39.36,7965.66,411.92
166.12,1729.11,15.36,555.99,1260.48,271.57,558.8,-92.74,39.4,7992.47,425.35
164.87,1743.55,16,553.36,1291.46,273.33,555.18,-92.64,39.45,7992.33,433.12
157.3,1705.31,16.26,554.01,1247.69,272.65,555.3,-92.94,40.16,7834.57,427.02
180.92,1818.02,16.37,556.52,1354.23,274.29,562.16,-92.38,38.85,8109.76,447.5
201.04,2003.8,18.05,560.64,1520.91,280.74,564.6,-92.06,39.15,8100.44,500.07
220.77,2206.01,20.06,561.27,1681.92,287.21,564.56,-91.73,39.97,7929.81,554.96
195.29,1980.08,20.51,566.27,1619.74,287.55,563.12,-91.24,40.65,7775.45,545.58
200.02,2014.17,19.86,566.65,1614.04,286.98,568.03,-90.09,40.5,7775.36,545.47
214.71,2157.05,21.42,558.81,1752.82,290.21,567.24,-91.32,40.25,7864.16,578.02
208.18,2108.89,21.13,559.15,1699.44,289.49,564.98,-91.27,40.69,7777.23,566.92
208.15,2102.89,20.94,564.38,1698.46,289.18,569.05,-91.21,40.42,7827.44,566.97
206.6,2090.95,21.02,561.97,1703.19,289.23,567.38,-91.15,40.38,7831.97,566.94
207.01,2096.19,20.94,562.08,1700.34,289.11,566.57,-91.09,40.48,7821.44,566.54
208.89,2105.31,20.67,564.35,1702.86,289.3,568.49,-91.03,40.29,7848.72,567.21
206.86,2087.9,20.87,560.51,1710.13,289.31,566.21,-90.98,40.28,7859.06,566.51
235.42,2379.04,23.64,561.33,1937.07,296.02,567.38,-90.8,40.6,7841.06,630.52
207.09,2214.44,23.75,563,1823.76,295.18,565.82,-90.37,41.38,7688.69,606.9
204.78,2136.8,22.5,564.53,1746.95,291.46,563.56,-90.45,40.97,7758.82,581.67
212.2,2187.91,21.31,565.27,1750.92,291.28,568.54,-89.96,40.91,7809.3,582.41
212.74,2200.69,21.46,565.87,1751.53,290.99,568.48,-90.62,40.74,7794.55,583.35
210.1,2197.58,21.84,565.7,1744.84,291.32,567.26,-90.58,40.9,7773.56,582.01
209.41,2195.22,21.78,566.14,1750.05,291.26,565.72,-90.54,40.78,7790.95,582.2
209.87,2203.43,21.66,565.36,1751.19,291.37,564.48,-90.49,40.77,7783.98,581.95
212.93,2219.25,21.78,566.21,1760.87,291.14,566.57,-90.45,40.65,7806.08,584.56
222.02,2277.71,22.1,565.19,1821.3,292.77,567.47,-90.41,40.54,7833.18,600.22
226.39,2330.72,22.44,565.86,1888.41,294.82,566.67,-91.29,40.74,7828.81,619.05
222.12,2310.08,23.99,564.65,1904.21,295.55,564.14,-90.37,40.9,7794.87,623.41
202.46,2202.41,23.46,562.6,1797.54,294.09,562.02,-90.4,41.78,7611.41,602.13
182.34,1976.81,21.36,562.58,1612.61,288.78,561.43,-90.41,41.57,7631.32,548.13
166.6,1794.73,18.76,563.57,1436.26,282.68,560.51,-90.66,41.39,7630.68,496.64
174.29,1818.65,17.84,564.98,1449.98,280.32,566.35,-90.92,39.61,7976.06,485.34
172.63,1819.88,18.32,564.39,1428.04,280.56,566.22,-90.17,40.14,7862.21,484.46
165.04,1806.37,18.44,567.37,1401.45,280.01,565.66,-91.24,40.34,7835.74,477.59
143.43,1594.11,15.61,560.7,1219.28,272.68,560.52,-91.11,39.53,7933.63,416.1
180.99,1857.23,16.5,557.99,1341.88,273.64,561.54,-91.81,38.17,8147.74,441.6
197.9,2030.36,18.39,565.44,1503.92,279.76,565.58,-91.56,38.14,8210.56,490.51
199.26,2191.29,23.9,562.63,1801.59,293.99,564.37,-91.21,40.96,7684.62,600.04
181.73,2006.05,21.96,556.9,1638.67,289.14,559.78,-91.4,41.25,7593.11,556.21
151.08,1684.56,17.04,552.48,1312.26,277.48,556.44,-91.79,40.21,7700.3,453.42
143.86,1607.89,15.44,552.26,1229.6,272.48,558.83,-91.98,39.52,7852.71,421.93
172.64,1790.6,15.64,560.44,1293.25,271.88,564.76,-92.23,38.29,8125.9,430.6
191.96,1972.04,17.31,560.92,1472.36,277.92,564.08,-91.97,38.17,8208.43,480.88
229.59,2385.96,24.24,564.38,1907.08,295.46,563.47,-91.09,40.63,7788.29,625.01
224.27,2326.13,23.84,562.7,1892.78,295.11,562.45,-91.11,40.71,7770.63,621.33
225.64,2331.48,23.23,563.88,1891.91,295.11,564,-91.13,40.59,7778.9,621.57
224.32,2320.38,23.1,562.04,1893.12,294.96,565.3,-91.15,40.64,7774.44,622.14
225.82,2328.14,23.44,564.27,1884.29,295.07,567.37,-91.17,40.69,7753.71,622.61
190.38,2058.79,21.88,561.23,1627.85,289.12,562.53,-90.81,41.37,7577.32,555.74
175.13,1892.54,19.53,560.18,1483.83,285.67,561.52,-91.41,40.84,7635.68,510.47
138.04,1582.86,15.44,558.76,1160.42,270.42,559.91,-92.01,39.55,7779.46,405.38
230.54,2449.88,24.08,566.01,1993.78,298.35,564.59,-91.11,41.01,7711.03,657.03
231.51,2456.57,24.12,567.05,1995.35,298.39,567.88,-91.06,40.97,7725.62,657.7
232.7,2476.96,24.1,566.76,1998.71,298.28,567.23,-91,40.83,7741.39,657.11
229.68,2458.25,24.37,566.59,1986.87,298.54,566.23,-90.95,41.12,7676.99,657.2
233.81,2486.11,24.06,566.46,2006.99,298.41,568.55,-90.89,40.7,7763.18,658.22
232.51,2460.84,24.19,566.31,2012.72,298.66,565.22,-90.82,40.74,7771.52,657.17
233.41,2473.06,24.21,565.88,2003.26,298.65,568.7,-90.79,40.83,7741.44,658.01
232.06,2466.13,24.36,566.98,2002.9,298.64,566.19,-90.75,40.81,7730.77,657.88
230.27,2478.53,24.09,567.38,1996.56,298.61,567.35,-90.68,40.94,7720.1,657.43
192.96,2139.26,22.78,566.36,1718.79,291.63,566.76,-90.63,41.09,7648.25,580.69
173.38,1929.82,20.7,559.95,1546.08,286.57,560.69,-90.82,40.98,7617.22,528.47
239.72,2411.94,23,562.91,1935.9,294.73,564.57,-90.23,39.63,7981.37,621.13
237.57,2474.31,24.27,565.76,1994.06,298.29,566.97,-89.76,40.5,7795.44,650.05
237.85,2470.44,24.14,567.37,1996.35,298.1,566.41,-89.74,40.42,7807.32,649.92
236.25,2465.47,24.26,567.2,1991.9,298.33,566.8,-89.74,40.53,7799.84,649.3
234.43,2450.45,24.09,567.69,1988.82,298.36,566.6,-89.73,40.6,7792.67,648.99
234.85,2457.16,24.32,566.71,1991.5,298.19,565.57,-89.72,40.56,7785.06,649.52
235.15,2471.21,24.16,566.85,1993.58,298.11,567.01,-89.71,40.59,7790.94,650.69
237.04,2467.29,24.07,563.79,1997.75,298.31,564.19,-89.71,40.51,7790.11,649.24
239.24,2484.18,23.85,564.59,2000.18,298.45,567.82,-89.7,40.38,7817.95,650.05
237.95,2475.73,24,564.3,1995.57,298.13,567.24,-89.7,40.47,7795.5,649.9
237.28,2472.13,24.28,565.07,1991.74,298.01,565.27,-89.69,40.68,7760.76,650.36
239.17,2483.01,24.03,564.74,2002.2,298.4,564.62,-89.69,40.65,7797.92,650.37
238.64,2459.39,24.06,564.03,1998.42,298.33,566.02,-89.68,40.68,7801.74,649.61
237.51,2453.52,23.98,564.89,1998.12,298.26,565.79,-89.68,40.5,7803.73,649.6
237.69,2445.89,24.2,563.35,2005.55,298.55,565.19,-89.67,40.35,7823.36,649.25
239.68,2452.15,23.98,564.99,2018.13,298.17,564.24,-89.67,40.16,7870,649.98
241.51,2455.09,23.92,562.5,2014.05,298.17,565.66,-89.66,40.23,7852.99,650.06
238.49,2440.69,24.17,562.55,2009.09,298.15,567.54,-89.66,40.29,7838.48,650.36
208.2,2176.76,23.32,561.07,1782.31,293.69,563.63,-89.73,41.15,7648.29,595.02
185.64,1957.27,22.49,562.03,1597.47,288.91,563.26,-89.97,40.94,7660.45,541.51
175.78,1886.72,19.57,559.19,1502.95,283.56,558.39,-91.23,40.33,7752.92,508.99
178.68,1908.53,18.86,562.93,1497.23,282.55,565.52,-90.19,40.16,7818.18,507.26
180.19,1930.74,18.93,563.8,1498.81,282.45,565.82,-91.61,40.11,7839.11,507.15
170.05,1881.7,18.85,562.29,1451.48,281.81,566.71,-91.58,40.55,7747.18,497.46
174.29,1863.03,17.91,555.16,1441.16,279.68,562.2,-91.56,39.79,7891.75,484.54
186.64,1997.74,19.26,562.86,1538.64,283.75,563.89,-91.48,40.08,7861.2,516.42
186,1987.18,19.05,563.87,1530.6,283.72,568.63,-91.45,40.02,7859.16,516.05
184.72,1976.27,18.94,565.99,1525.86,283.7,568.88,-91.42,40.04,7837.77,516.43
185.96,1980.6,19.18,565.07,1528.66,283.68,565.88,-91.4,40.13,7842.65,515.88
185.1,1978.45,19.13,566.26,1528.18,283.66,568.77,-91.37,40.07,7857.81,516.26
185.23,1966.1,19.16,564.71,1525.08,284.01,567.54,-91.35,40.17,7836.85,515.52
187.53,1980.57,19.28,566.95,1537.08,283.76,567.34,-91.32,39.95,7886.79,516.6
184.49,1960.33,19.58,566.34,1528.02,283.82,567.34,-91.29,40.11,7839.18,516.39
219.01,2298.47,21.92,564.76,1803.56,290.88,567.61,-91.17,39.78,7952.3,589.01
231.85,2484.74,22.73,561.02,1948.67,294.86,564.57,-90.94,40.24,7873.36,631.53
194.3,2103.61,22.98,559.46,1715.11,291.54,561.44,-90.03,40.97,7664.39,573.77
175.93,1888.15,20.71,557.4,1536.15,285.71,555.6,-90.27,40.91,7663.12,520.6
160.01,1715.01,18.71,555.7,1364.75,280.44,557,-90.5,40.49,7692.27,469.06
235.77,2408.27,21.23,558.83,1878.34,291.21,565.17,-93.68,39.84,7932.14,609.5
217.14,2323.38,23.7,563.41,1880.37,294.84,565.87,-91.69,40.25,7808.7,616.19
220.18,2319.08,23.31,565.25,1879.4,293.98,565.74,-91.71,39.98,7863.05,614.35
220.85,2330.12,23.03,564.5,1874.9,293.98,567.88,-91.73,39.98,7845.91,614.78
217.39,2325.09,23.07,566.24,1858.47,293.89,569.12,-91.75,40.2,7816.41,612.96
232.24,2356.98,22.83,564.33,1918.97,293.7,568.8,-91.49,39.35,7990.37,620.08
189.43,2088.21,22.29,565.78,1665.26,289.95,564.11,-91.75,40.39,7737.9,559.36
178.09,1896.64,20.62,563.29,1522.09,284.3,562.16,-92.05,39.4,7869.25,510.82
182.7,1904.05,18.35,560.97,1524.97,281.46,564.29,-91.35,38.22,8109.27,500.34
221.46,2280.7,20.9,560.07,1779.79,288.58,563.42,-92.31,38.45,8137.67,569.84
237.28,2439.66,21.97,561.41,1922.97,292.69,563.46,-92.12,38.64,8124.47,609.81
215.93,2346.24,23.96,559.49,1919.88,296.99,563.36,-91.15,40.85,7765.37,625.95
199.44,2139.83,22.53,560.93,1695.52,290.6,561.29,-93.26,41.45,7648.05,570.18
178.69,1911.45,21.02,557.9,1525.19,286.25,558.87,-91.17,41.11,7687.57,517.09
159.79,1729.44,18.18,559.15,1354.85,278.94,558.04,-91.42,40.81,7706.76,466.2
152.8,1639.5,16.26,560.15,1266.47,273.9,558.87,-91.68,39.59,7904.25,431.43
142.79,1538.11,15.41,558.8,1171.62,270.34,560.95,-89.97,39.26,7928.59,401.89
222.1,2369.78,24,559.57,1936.91,296.7,560.97,-92.6,41.14,7730.88,633.48
197.87,2133.33,23.07,559.57,1735.53,291.83,561.46,-90.86,41.19,7659.33,580.57
176.56,1799.77,17.36,553.3,1388.87,277.55,556.83,-91.48,39.58,7952.63,464.16
176.98,1797.88,17.34,556.33,1390.9,277.64,555.35,-91.43,39.55,7969.87,463.93
175.25,1790.05,17.4,559.09,1399.8,277.74,554.05,-91.39,39.38,8009.15,464.75
173.63,1785.66,17.61,556.72,1397.36,277.25,553.08,-91.34,39.57,7988.12,463.81
173.7,1789.66,17.53,555.76,1393.67,277.78,556.75,-91.29,39.62,7986.67,463.86
175.86,1785.15,17.3,553.8,1399.34,277.74,556.64,-91.2,39.32,8020.94,463.52
176.63,1803.21,17.18,554.46,1406.52,277.72,557.29,-91.15,39.25,8045.56,464.62
174.32,1795.58,17.3,554.71,1395.98,277.72,558.21,-91.11,39.44,7999.69,464.2
176.83,1804.1,17.45,554.73,1402.73,277.81,556.82,-91.06,39.34,8017.86,464.82
215.95,2126.31,20.11,557.3,1695.24,286.44,562.29,-90.83,39.24,8090.23,546.94
235.59,2309.76,21.89,555.59,1859.11,291.36,561.71,-90.49,39.74,8018.96,595.03
241.65,2428.75,23.42,557.39,1967.93,295.79,561.57,-91.22,40.33,7909.98,631.04
232.52,2377.02,24.26,557.83,1943.46,296.32,559.68,-90.1,40.91,7788.13,630.1
230.72,2345.98,24.26,559.95,1933.8,296.1,560.99,-90.13,40.82,7801.75,628.06
231.37,2352.65,23.91,560.54,1938.59,296.03,562.63,-90.15,40.72,7834.5,628.41
229.33,2342.16,23.95,561.12,1930.21,296.05,565.63,-89.99,40.72,7818.67,628.23
230.07,2335.36,23.96,559.56,1930.29,296.07,564.81,-90.16,40.75,7820.52,627.2
231.15,2347.53,23.57,561.46,1931.36,295.93,567.08,-90.15,40.69,7830.67,628.64
228.46,2324.92,23.75,561.38,1917.63,296.05,567.64,-90.13,40.78,7803.59,626.56
228.17,2319.52,23.94,561.71,1917.31,296.06,565.79,-90.11,40.79,7802.7,625.86
229.55,2328.21,23.81,561.83,1922.92,295.83,565.67,-90.35,40.71,7821.44,626.35
229.46,2323.28,23.83,561.13,1918.83,295.85,566.91,-90.19,40.75,7804.41,626.6
171.54,1816.61,20.42,557.14,1493.61,284.93,557.62,-90.65,41.26,7650.22,509.05
180.01,1862.59,15.34,559.83,1367.59,273.92,560.85,-91.6,38.12,8272.85,444.53
218.53,2283.06,20.45,557.98,1717.82,287.93,565.68,-92.15,39.91,7947.9,563.54
160.55,1764.95,18.19,562.19,1349.19,278.47,556.94,-91.19,40.67,7726.55,463.96
163.37,1740.86,15.97,562.17,1288.14,274.22,566.15,-91.67,39.42,7940.25,439.63
162.38,1742.39,16.14,562,1289.74,274.17,565.79,-91.7,39.41,7943.94,439.63
161.56,1730.2,16.11,559.25,1291.29,274.18,562.76,-91.73,39.45,7924.63,439.56
158.01,1718.47,16.1,558.83,1278.61,273.98,559.76,-91.76,39.77,7880.66,436.87
148.42,1627.66,15.16,558.32,1191.44,270.94,555.97,-91.79,39.85,7838.84,411.25
168.06,1738.13,15.51,555.57,1290.13,271.26,564.32,-91.98,38.68,8132.47,428.33
187.72,1922.28,17.19,556.74,1464.89,278.04,563.68,-91.81,38.46,8210.04,476.89
220.65,2221.57,19.95,556.21,1757.98,288.5,562.26,-91.34,39.72,8019.95,568.56
238.79,2414.69,21.23,558.95,1929.05,293.09,564.47,-91.11,40.2,7937.8,622.07
212.4,2308.61,24.08,564.1,1869.84,296.46,566.68,-89.71,41.49,7675.15,619.83
189.21,2075.3,23.11,564.46,1680,291.22,564.37,-89.95,41.56,7631.76,567.4
172.15,1860.91,20.45,562.58,1503.05,285.37,558.97,-90.2,41.19,7655.39,512.94
155.96,1687.53,17.78,555.98,1342.15,278.92,558.34,-90.44,40.8,7699.21,462.02
160.21,1720.01,15.2,557.77,1253.63,269.87,559.99,-91.86,38.17,8194.25,413.2
155.5,1742.44,16.23,554.56,1267.84,272.75,556.78,-91.86,39.12,8225.77,424.2
146.34,1677.6,15.94,554.97,1221.6,271.81,550.54,-91.86,39.51,8031.49,412.98
174.18,1883.59,17.73,556.61,1412.36,278.28,556.92,-91.94,39.66,8165.5,469.98
172.65,1858.06,17.93,557.76,1406.46,278.16,554.94,-91.64,39.77,7973.74,469.15
171.38,1838.5,18.06,559.38,1403.44,278.36,556.51,-91.61,39.89,7946.87,469.66
171.15,1826.85,17.87,559.07,1402.28,278.43,556.92,-91.57,39.81,7935.65,469.11
171.67,1828.79,17.8,558.24,1407.91,278.35,558.06,-91.54,39.71,7937.38,469.89
172.08,1830.21,17.91,558.47,1402.73,278.28,559.26,-91.5,39.69,7962.92,469.18
179.65,1871.62,17.81,559.73,1441.62,279.22,560.45,-91.46,39.2,7950.34,476.5
195.98,2006.34,19.16,558.64,1583.89,282.58,563.15,-92.15,39.25,8062.77,516.91
209.15,2138.47,19.88,558.63,1678.57,287.13,563.06,-91.4,39.77,8081.22,549.53
205.79,2154.34,20.95,559.19,1683.61,288.8,565.13,-91.38,40.47,7972.77,557.78
204.11,2117.93,21.31,559.49,1680.01,288.55,562.05,-91.37,40.54,7838.73,556.23
202.85,2095.29,21.31,561.4,1673.48,288.26,562.31,-91.35,40.56,7830.7,556.03
204.55,2092.92,21.03,561.1,1675.4,288.33,562.71,-91.34,40.42,7819.57,555.84
205.11,2098.26,21.03,562.12,1672.09,288.1,566.63,-91.32,40.58,7831.52,556.43
203.54,2090.77,21.13,563.12,1671.04,288.38,566.56,-91.3,40.44,7835.14,556.01
186.97,2001.2,20.8,561.93,1589.79,287.07,562.86,-91.29,41.07,7841.32,536.92
166.59,1799.11,19.21,560.04,1411.91,281.42,559.41,-91.85,41.02,7712.85,485.1
153.13,1658.32,17.86,556.81,1286.39,275.78,558.17,-91.37,40.27,7666.4,441.15
151.71,1614.64,16.64,557.86,1265.8,274.04,556.29,-91.49,39.27,7787.4,426.41
154.55,1663.05,16.11,558.13,1272.76,272.75,557.84,-91.61,38.99,7984.79,426.71
156.63,1696.33,15.99,556.71,1273.95,272.72,562.49,-90.82,38.87,8041.73,427.69
153.7,1696.92,15.82,556.82,1261.44,272.57,562.06,-91.8,38.95,8052.7,425.44
142.57,1612.29,15.4,554.76,1176.12,269.74,557.68,-91.83,39.21,8014.08,400.06
152.82,1685.61,14.95,562.91,1227.03,270.76,562.55,-91.86,38.49,7989.4,411.74
154.8,1690.63,15.24,562.57,1236.38,271.16,564.25,-91.81,38.41,8129.29,414.01
153.43,1680.34,15.73,561.96,1228.4,271.11,565.43,-91.76,38.58,8147.18,412.97
151.92,1663.62,15.78,560.73,1229.79,270.96,563.38,-91.71,38.47,8114.49,412.24
152.11,1657.05,15.77,561.44,1231.64,270.99,559.87,-91.66,38.5,8121.13,412.51
151.59,1654.61,15.47,560.11,1215.99,271.04,561.08,-91.61,39.1,8117.3,412.72
152.85,1665.16,15.36,561.69,1228.53,271.25,560.42,-91.5,38.68,8052.51,413.52
152.83,1661.14,15.39,560.16,1226.99,271.29,560.11,-91.45,38.8,8072.06,413.51
152.66,1654.13,15.41,560.28,1224.36,271.31,559.97,-91.4,38.95,8048.64,412.8
152.69,1658.71,15.35,561.2,1223.02,271.05,561.38,-91.35,38.91,8041.26,412.68
152.86,1659.15,15.41,561.14,1221.99,271.09,563.12,-91.3,38.85,8048.42,412.45
153.71,1663.97,15.34,560.93,1224.11,271.12,564.13,-91.25,38.79,8061.51,412.39
143.18,1612.03,15.23,560.47,1173.82,270.23,563.14,-91.19,39.36,8082.35,401.96
172.57,1870.08,18.37,566.83,1429.93,280.75,567.72,-91.49,40.5,7870.87,487.95
152.07,1653.18,16.2,561.81,1248.64,272.94,561.17,-91.56,39.53,7689.11,424.99
154.02,1663.65,15.74,561.13,1248.87,272.23,565.48,-91.57,39.18,7943.86,423.68
158.86,1694.39,15.71,557.56,1263.99,272.24,564.23,-91.6,38.99,8013.26,424.95
214.61,2177.33,20.13,559.24,1692.9,287.17,566.06,-91.36,39.65,7982.8,553.36
220.77,2337.08,23.24,562.04,1842.66,293.27,565.53,-92.14,40.69,7877.83,604.09
215.29,2271.6,23.63,559.28,1839.53,293.29,562.53,-90.88,40.84,7822.33,603.18
212.45,2255.24,23.37,560.25,1826.25,293.22,564.33,-90.95,40.95,7786.68,602.42
189.82,2098.75,22.88,554.2,1690.49,290.55,561.55,-91.01,41.52,7758,568.43
191.13,1973.64,17.74,562.23,1500.45,279.73,564.03,-90.91,38.45,8277.22,484.69
208.67,2138.01,19.78,560.79,1650.38,286.28,564.22,-91,39.83,8261.24,540.65
207.07,2108.63,21,564.94,1687.94,289.37,565.06,-90.4,40.55,7844.13,561.16
195.12,2051.65,21.03,560.1,1648.25,288.75,564.04,-90.44,40.95,7823.64,551.68
188.33,1961.09,19.92,561.58,1573.72,286.48,563.44,-89.69,40.39,7748.01,526.49
166.79,1784.75,18.51,558.75,1399.19,281.43,562.08,-90.54,41.08,7828.21,482.26
168.69,1714.31,16.41,559.7,1328.18,275.01,562.75,-90.93,38.52,7812.23,439.94
191.9,1946.74,16.92,562.8,1507.28,280.6,570.09,-90.66,38.49,8141.12,493.02
199.13,2108.34,17.93,560.28,1623.27,286.85,569.31,-91.03,40.2,8183.31,539.97
173.38,1936.14,19.41,556.61,1476.93,284.25,563.92,-90.41,41.14,7888.72,504.83
175.84,1820.06,16.28,555.05,1365.13,274.45,561.57,-91.48,38.57,8259.98,446.04
187.24,1948.79,17.72,556.58,1470.78,279.76,560.4,-91.24,39.25,8187.38,482.49
177.28,1885.12,18.73,556.39,1428.95,280.46,565.67,-91.23,40.44,8082.82,484.04
166.28,1817.55,18.26,561.89,1390.62,279.53,563.17,-91.29,40.76,7945.08,475.49
152.73,1622.85,15.32,553.88,1230.86,271.78,562.13,-91.33,39.2,7787.5,416.59
169.72,1894.2,19.47,561.7,1461,282.91,556.27,-91.7,41.2,7813.76,499.23
156.66,1723.1,17.63,561.38,1335.01,277.45,557.14,-91.85,40.22,7676.16,456
144.82,1640.58,16.25,561.24,1230.59,272.91,558.99,-92,40.06,7805.58,425.39
131.72,1495.8,13.51,553.01,1067.97,262.76,550.54,-92.37,38.27,7972.48,359.03
134.48,1510.45,13.27,551.81,1065.04,263.05,553.34,-92.33,38.47,8153.09,359.79
157.25,1729.51,16.02,551.02,1290.52,272.87,553.6,-91.81,38.9,8116.74,426.89
159.05,1739.49,15.96,555.52,1278.12,272.66,557.76,-91.66,38.93,8100.84,426.17
157.64,1731.15,15.9,557.17,1276.66,272.77,559.63,-91.62,38.91,8081.97,426.43
156.8,1719.98,16.08,556.4,1270.93,272.32,558.54,-91.57,39.01,8078.13,425.73
156.96,1720.95,16.1,558.51,1281.13,272.87,556.72,-91.52,38.8,8041.98,425.98
157.14,1716.91,16.06,557.5,1280.42,272.87,556.66,-91.47,38.84,8103.1,426
157.87,1722.67,16.03,554.51,1273.66,272.74,558.43,-91.42,39.03,8092.91,425.47
158.02,1723.68,16.28,555.04,1276.82,272.83,559.5,-91.37,38.93,8054.82,426.13
165.68,1819.74,16.93,555.59,1349.49,276.7,561,-91.23,39.78,8170,454
167.62,1818.07,17.04,556.02,1356.64,276.7,560.83,-91.18,39.65,7935.41,453.7
166.45,1803.01,17.04,556.14,1354.94,276.7,563.99,-91.13,39.61,7987.29,454.45
167.41,1802.46,16.83,557.45,1358.31,276.81,562.16,-91.04,39.5,7960.31,453.55
167.37,1802.62,16.75,557.85,1357.73,276.76,563.34,-90.93,39.43,8025.52,453.72
166.94,1803.9,16.99,558.87,1359.46,276.45,562.75,-90.83,39.35,8018.05,454.02
169.52,1811.39,17.08,558.49,1368.96,276.83,560.98,-90.73,39.2,8027.18,454.06
185.31,1914.08,17.65,564.12,1472.64,279.22,565.5,-90.64,38.5,8069.19,479.61
204.88,2098.87,19.08,561.57,1636.41,284.96,567.64,-91.42,39.08,8221.93,529.97
203.83,2246.51,23.65,566.59,1784.67,294.08,565.02,-89.7,41.41,7728.12,594.69
164.2,1799.72,19.36,558.2,1440.04,282.69,559.16,-90.13,41.1,7656.88,491.73
167.11,1732.63,15.34,555.38,1278.53,271.15,565.02,-91.12,38.3,8192.42,420.56
166.6,1821.94,16.5,553.33,1333.43,275.07,564.82,-90.87,39.25,8211.72,445.37
164.01,1809.31,16.88,551.85,1336.35,275.5,563.39,-90.8,39.07,8040.58,443.15
160.89,1786.88,16.6,550.05,1324.55,275.3,559.17,-90.73,39.2,8085.52,439.5
148.03,1675.68,15.59,551.02,1223.11,272.33,557.34,-91.1,39.54,8050.83,413.93
135.7,1527.84,13.5,554.29,1074.18,263.58,556.44,-91.12,38,8205.94,359.98
176.09,1858.68,16.38,560.47,1380.44,274.61,561.55,-92.51,38.35,8243.24,451.68
195.54,2028.7,17.87,561.78,1543.72,281.2,565.22,-92.28,38.94,8220.71,504.76
199.09,2122.6,19.53,560.44,1602.65,285.83,564.7,-92.04,40.67,8136.91,538.89
201.2,2120.23,20.45,563.79,1636.35,286.65,566.18,-92.97,40.35,7794.32,545.27
196.87,2071.35,20.67,565.4,1635.85,287.08,564.81,-91.69,40.47,7830.99,546.42
196.57,2063.08,20.68,565.02,1632.81,287.16,565.9,-91.67,40.36,7836.57,545.79
186.28,2018.17,20.4,566.19,1590.23,286.54,566.93,-91.65,40.69,7834.81,536.98
165.76,1814.5,18.98,561.37,1414.61,281.67,561.15,-91.91,40.9,7775.18,487
152.81,1668.64,17.19,558.26,1281.69,276.1,560.57,-91.69,40.32,7674.29,443.29
142.3,1592.72,15.88,558.93,1202.85,271.45,558.81,-91.84,39.62,7742.02,413.29
156.32,1746.26,16.03,560.5,1256.71,272.12,559.53,-92.15,39.31,8019.5,424.16
156.45,1736.73,16.13,563.84,1248.93,272.01,560.72,-92.12,39.36,8016.71,423.64
